customer_id,customer_name,register_date
C00001,李**,2024-01-26
C00002,陈**,2024-09-07
C00003,赵**,2024-05-22
C00004,李**,2025-07-12
C00005,李**,2025-03-08
C00006,张**,2024-01-31
C00007,李**,2024-08-11
C00008,赵**,2025-06-01
C00009,张**,2025-07-28
C00010,赵**,2025-07-12
C00011,黄**,2024-08-13
C00012,周**,2024-10-11
C00013,张**,2024-06-12
C00014,黄**,2024-12-14
C00015,陈**,2024-06-08
C00016,赵**,2024-12-10
C00017,李**,2024-04-04
C00018,黄**,2024-04-09
C00019,林**,2024-12-18
C00020,陈**,2024-02-14
C00021,周**,2025-07-03
C00022,李**,2025-01-22
C00023,李**,2025-07-19
C00024,陈**,2025-01-05
C00025,赵**,2024-03-12
C00026,张**,2024-08-21
C00027,陈**,2024-03-22
C00028,赵**,2024-04-13
C00029,黄**,2024-10-11
C00030,周**,2025-01-08
C00031,王**,2025-01-14
C00032,林**,2024-08-02
C00033,陈**,2024-03-14
C00034,王**,2025-06-30
C00035,赵**,2024-06-16
C00036,周**,2025-01-23
C00037,陈**,2025-07-24
C00038,赵**,2024-11-28
C00039,张**,2024-08-22
C00040,张**,2024-11-19
C00041,黄**,2024-10-01
C00042,李**,2024-08-04
C00043,林**,2024-08-05
C00044,周**,2025-02-09
C00045,周**,2024-05-26
C00046,陈**,2024-05-22
C00047,赵**,2025-07-28
C00048,陈**,2025-08-21
C00049,黄**,2025-08-20
C00050,黄**,2025-01-05
C00051,赵**,2024-05-21
C00052,周**,2024-04-03
C00053,张**,2024-04-22
C00054,王**,2024-06-12
C00055,黄**,2024-03-06
C00056,黄**,2025-01-25
C00057,周**,2025-06-25
C00058,陈**,2025-07-20
C00059,张**,2024-04-27
C00060,陈**,2024-12-14
C00061,李**,2024-10-27
C00062,黄**,2024-06-10
C00063,周**,2024-01-04
C00064,陈**,2025-05-27
C00065,王**,2025-06-03
C00066,李**,2024-11-01
C00067,赵**,2024-06-05
C00068,林**,2024-06-14
C00069,张**,2024-11-27
C00070,周**,2024-01-20
C00071,李**,2025-01-06
C00072,陈**,2024-09-02
C00073,张**,2024-09-03
C00074,李**,2024-03-28
C00075,周**,2024-03-11
C00076,王**,2024-05-11
C00077,周**,2025-07-16
C00078,王**,2024-09-28
C00079,黄**,2024-08-04
C00080,赵**,2024-11-15
C00081,黄**,2025-01-17
C00082,周**,2025-06-13
C00083,周**,2024-05-03
C00084,赵**,2024-08-18
C00085,李**,2024-12-12
C00086,张**,2025-07-21
C00087,赵**,2024-08-13
C00088,张**,2024-03-13
